Mean,Std Dev,Coloring
0.001298702934029992,0.007312863492280104,1
0.0017458814263154776,0.007812080322129177,1
0.0015433873731528515,0.0066145237475084525,1
0.000488702110524868,0.004639043425778242,0
0.0003376323141309914,0.005126296373631669,0
-0.002287835169437723,0.005082956757277029,0
-0.0011218697975870532,0.005916300695560875,0
0.001620286353064443,0.005330175127729053,1
0.0009628120144544121,0.006218416125055833,1
-0.00016632773867698494,0.005328395911211052,0
-0.0019676709951849756,0.0046573435860946056,0
-0.0002140154171521513,0.006710891570871996,0
9.236758970305427e-05,0.0069882730136626705,0
-0.0016398705153268188,0.00591951262893954,0
0.0008048643052570068,0.008285414530396617,1
0.0016939231294024887,0.00820584962381061,1
0.0002636194605644204,0.00596457248559952,0
0.0014535790900331552,0.0049625306722819945,1
0.0025682713330680462,0.00596130492095852,1
0.002598487817192722,0.0053811511808817694,1
0.0006530127032478842,0.004510493683721477,0
0.00183703191430331,0.00539637414824892,1
0.001827440779449029,0.005727007470118437,1
-0.0002051072207646571,0.005248285241455464,0
-3.804930030434784e-05,0.00794213361100913,0
-0.0019064072016185334,0.008547718688716885,0
0.00027248537420191787,0.0065320338056391565,0
0.0022179150459329844,0.0060812207655614615,1
8.828481854885242e-05,0.005239207666103833,0
0.00016482280982447374,0.005873275901692035,0
-0.0015625833775237852,0.0055889243310504955,0
-0.0032515301689546986,0.004092294414780432,0
-0.0022443110477206084,0.0050781122303748295,0
0.00046086662006788553,0.005782161118154734,0
0.001799693036918261,0.005205650564103417,1
0.002076810166117796,0.004471598194703007,1
0.0029014117387223533,0.00822150701998563,1
0.004749120620641719,0.008437578168616247,1
0.001953235986747681,0.008034675271497567,1
-0.0018182217670815537,0.007141159354144298,0
-0.0009244580562352246,0.006839864063767943,0
-0.0028169426528523007,0.006848241003046304,0
-0.0031083886167052096,0.007865877644230117,0
-2.6382168922664423e-05,0.008232484347693421,0
0.0002879609757491512,0.0091864856684549,0
0.0021242531767121722,0.006695043536893395,1
0.0017913970441325415,0.004294926350923993,1
0.0016987113825873597,0.006371838966149902,1
0.0009591978335353461,0.007182763194435246,1
-0.0010919959707612276,0.006474253988641974,0
-0.0014919866977522725,0.006418411751819361,0
0.0004465164153897727,0.008030451113558587,0
0.001296694389701369,0.010215661488123123,1
0.001030696212033907,0.009718054262358843,1
-0.0016387743283413428,0.00710806670210449,0
-0.0011412513851376258,0.005732214586275206,0
0.00014384702946149597,0.004755580006002559,0
-0.000391894188730531,0.006345871379097916,0
-0.0015340180993462264,0.006096068965307985,0
-0.001402675483672567,0.005202583017463026,0
0.001107307457607868,0.006002601891538862,1
-0.0007925086460439416,0.007956519688665963,0
5.32993813894833e-05,0.008820648349405017,0
-0.0004178204005285518,0.006588932492897386,0
-0.0002732915179561625,0.006386997716842899,0
0.0028941714490633283,0.00682378413010909,1
0.0021409931351130344,0.007211939117420598,1
-0.0006612430853012237,0.0071612343752453286,0
-0.0022878825342404043,0.006057994338234138,0
-0.0014270118166651395,0.006281679290347257,0
-0.0002484355402055475,0.006930712395016248,0
0.0009614988185300675,0.006053386493038282,1
0.0031012892699539486,0.004920572114651603,1
0.0026703782263208307,0.004641311724920769,1
0.002504125160429035,0.0037647704032713197,1
0.003944403979530494,0.005233057740431303,1
0.0018811782748511749,0.0054445144303068875,1
-0.0014915248885096636,0.0064427157622482115,0
-0.0009169339426612365,0.007965036849987188,0
0.0007250699594401801,0.008532945417047504,1
0.0028793214418828613,0.006630514726239315,1
0.0014396369548811054,0.006233815757793163,1
-0.0004455953402980452,0.006224439625175885,0
